Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4018,Handbag,4619,05-02-2023,,Credit Card
4115,Tunic,2456,11-07-2023,2,Credit Card
4019,Tank Top,2102,23-03-2023,4.1,Cash
4097,Leggings,3126,15-03-2023,3.2,Cash
3997,Wallet,3003,27-11-2022,4.7,Cash
4080,Onesie,2914,11-12-2022,4.5,Credit Card
4055,Jacket,2571,08-07-2023,1.3,Cash
3973,Trousers,2419,10-11-2022,4.6,Cash
4044,Jeans,4771,19-05-2023,4.1,Cash
4010,Loafers,4233,11-06-2023,,Credit Card
4108,Slippers,2356,19-03-2023,4.8,Credit Card
4067,Bowtie,4418,21-11-2022,3.4,Cash
4068,Pajamas,3728,09-12-2022,,Credit Card
4102,Trench Coat,2130,29-01-2023,4.8,Cash
4044,Handbag,2122,01-08-2023,1.2,Credit Card
4096,Poncho,2383,10-04-2023,,Credit Card
4017,Gloves,2895,17-07-2023,3.6,Credit Card
4001,Trench Coat,2952,13-06-2023,2.2,Cash
3976,Slippers,4069,18-06-2023,4.9,Credit Card
4103,Romper,4465,21-11-2022,,Credit Card
4081,T-shirt,2108,25-03-2023,,Cash
3986,Gloves,4298,05-04-2023,4.2,Cash
4108,Jeans,2814,11-02-2023,4.4,Credit Card
4109,Flip-Flops,4932,20-12-2022,4,Credit Card
4075,Tunic,4661,12-04-2023,1.2,Credit Card
4040,Shorts,4872,25-08-2023,3.8,Cash
4099,Blazer,4232,25-10-2022,2.7,Credit Card
3981,Boots,3718,10-09-2023,2.8,Credit Card
4070,Poncho,2902,04-08-2023,4.9,Cash
4002,Belt,3839,26-05-2023,1.8,Cash
4035,Tunic,4413,23-12-2022,1.2,Credit Card
4060,Boots,3139,26-01-2023,3.4,Credit Card
3974,Flip-Flops,2026,16-04-2023,4,Cash
4110,Hoodie,2653,11-10-2022,4.2,Credit Card
3984,Sweater,4859,19-12-2022,5,Cash
4109,Blouse,3731,02-03-2023,,Credit Card
4054,Swimsuit,3393,28-02-2023,4.3,Cash
4040,Kimono,3138,12-05-2023,,Credit Card
4083,Cardigan,2636,09-04-2023,1.7,Cash
4122,Socks,2881,22-02-2023,,Credit Card
3972,Pants,3378,06-05-2023,3.6,Cash
3980,Pajamas,2418,26-05-2023,2.2,Credit Card
4012,Scarf,2379,29-05-2023,2.9,Credit Card
3992,Backpack,101,13-12-2022,1.3,Credit Card
4105,Dress,164,20-10-2022,3.2,Credit Card
4119,Boots,21,03-04-2023,3.9,Cash
3957,Camisole,147,04-11-2022,4.7,Cash
3994,Loafers,,16-05-2023,3.9,Cash
3995,Bowtie,30,23-11-2022,4.1,Cash
4072,Poncho,170,15-10-2022,3.6,Credit Card
4093,Trousers,102,25-05-2023,2.1,Cash
4031,Blouse,190,14-01-2023,3,Cash
4056,Sneakers,,02-11-2022,,Credit Card
4114,Leggings,84,15-06-2023,3.8,Cash
4104,Backpack,69,27-05-2023,2.1,Cash
4071,Tunic,107,03-12-2022,1.5,Cash
4007,Dress,172,05-04-2023,1.9,Cash
4009,Flannel Shirt,51,16-04-2023,1.8,Cash
4038,Tie,63,13-02-2023,4.3,Cash
4033,Backpack,189,31-08-2023,4.9,Cash
4102,Cardigan,175,05-06-2023,3.6,Credit Card
4034,Tunic,,01-07-2023,1.5,Credit Card
4068,Jeans,146,26-08-2023,1.1,Cash
4045,Gloves,51,27-01-2023,2.5,Credit Card
3979,Camisole,79,05-06-2023,1.3,Cash
4106,Trousers,173,07-09-2023,3.4,Credit Card
3959,Trousers,66,02-11-2022,4.5,Cash
4113,Boots,24,20-01-2023,1.2,Credit Card
4087,Scarf,18,21-11-2022,1.7,Credit Card
